candidate_id,candidate_name,phone,email,agent,token_date,token_paid,token_status,lead_source,remarks,lead_created_date,full_payment_date,enrolled,offer_letter_released,payment_method,utr,interview,offer_released_date,loan_docs,start_of_the_week,cohort,ad_id,ad_set_id,city,state,manager,test_submitted_date,first_call_date,application_date
DELX-219537,Narendrakumar C,7018111819,narendrakumarc@gmail.com,Harshita,2024-09-26,1,Active,LinkedIn,Unknown,2024-05-19 21:09:00,2024-11-22,Enrolled,1,Loan,0.0,,,,2024-09-23,Cohort 2,,,Tiruchirappalli,Tamil Nadu,Akshit,2024-09-25 22:47:00,2024-11-04 18:12:00,2024-09-20 14:14:00
DELX-289901,Mayank Singla,8881117710,mayanksingla@gmail.com,Sakshi Tiwari,2024-10-04,1,Active,Facebook,Unknown,2024-07-08 11:15:00,2024-10-17,Enrolled,1,One shot,0.0,,,,2024-09-30,Cohort 2,120212409232300220,120212409143860220,Noida,Dubayy,Akshit,2024-10-03 23:23:00,,2024-09-29 14:29:00
DELX-353233,Priyanka Srivastava,7666719651,priyankasrivastava@gmail.com,Rupanshi Shekhawat,2024-09-01,1,Active,UNI Brochure Download,Unknown,2024-08-29 12:00:00,2024-10-21,Enrolled,1,One shot,0.0,,,,2024-08-26,Cohort 2,,,Pune,Maharashtra,Akshit,2024-08-31 17:29:00,,2024-08-29 13:11:00
DELX-303398,Priti Thakran,9650966511,pritithakran@gmail.com,Monalisa Das,2024-11-29,1,Drop,Facebook,Unknown,2024-07-18 11:49:00,,,1,,,,2024-11-25,Cohort 2,120212409341690220,120212409143860220,Gurugram,Haryana,Akshit,2024-11-27 19:24:00,2024-11-15 12:08:00,2024-11-24 15:20:00
DELX-257338,Prachi Priyam,9886610189,prachipriyam@gmail.com,Sangeeta Haldar,2024-12-23,1,Active,Facebook,Unknown,2024-06-13 11:28:00,2024-12-28,Enrolled,1,One shot,0.0,,,,2024-12-23,Cohort 2,120214054895510500,120214054895500500,Unknown,Karnataka,Akshit,2024-12-22 22:51:00,2024-12-11 19:18:00,2024-12-19 12:27:00
DELX-281966,Preeti Raj,9115091119,preetiraj@gmail.com,Monalisa Das,2024-10-16,1,Active,Database,Unknown,2024-07-02 10:27:00,2024-11-04,Enrolled,1,Partial,0.0,,,,2024-10-14,Cohort 2,,,Bangalore,Karnataka,Akshit,2024-10-16 17:38:00,2024-11-04 12:07:00,2024-10-15 19:24:00
DELX-388065,Devender Kumar,9166601111,devenderkumar@gmail.com,Monika Panchal,2024-10-10,1,Active,LinkedIn,Unknown,2024-09-25 11:49:00,2024-11-05,Enrolled,1,One shot,0.0,,,,2024-10-07,Cohort 2,524521026,,Gurgaon,Haryana,Akshit,2024-10-09 16:50:00,2024-11-04 11:56:00,2024-10-05 13:40:00
BLRX-132372,Prasad Kulkarni,9096701699,prasadkulkarni@gmail.com,Payal Gupta,2024-11-12,1,Active,Facebook,Unknown,2023-12-26 18:33:00,2024-12-07,Enrolled,1,One shot,0.0,,,,2024-11-11,Cohort 2,120214054895510500,120214054895500500,Unknown,Maharashtra,Akshit,2024-11-12 17:11:00,2024-11-09 18:32:00,2024-11-10 15:55:00
DELX-182381,Lavanya Elango,8870100111,lavanyaelango@gmail.com,Simran Rana,2024-10-21,1,Active,LinkedIn,Unknown,2024-04-07 07:44:00,2024-11-14,Enrolled,1,One shot,0.0,,,,2024-10-21,Cohort 2,,,Dharmapuri,Tamil Nadu,Akshit,2024-10-19 20:33:00,2024-11-04 18:11:00,2024-10-05 19:08:00
DELX-380080,Venkata Krishnan,6181168661,venkatakrishnan@gmail.com,Sangeeta Haldar,2024-10-20,1,Drop,LinkedIn,Unknown,2024-09-20 11:06:00,,,1,,,,2024-10-14,Cohort 2,524521016,,Chennai,Tamil Nadu,Akshit,2024-10-19 13:16:00,2024-11-05 12:09:00,2024-10-09 12:45:00
DELX-187264,Hitin Yadav,8700119115,hitinyadav@gmail.com,Vinti,2024-09-15,1,Active,LinkedIn,Unknown,2024-04-14 17:34:00,2024-10-18,Enrolled,1,One shot,0.0,,,,2024-09-09,Cohort 2,,,Bangalore,Karnataka,Akshit,2024-09-14 12:19:00,2024-11-04 11:17:00,2024-09-11 12:03:00
DELX-185454,Abhishek Raj,7566680057,abhishekraj@gmail.com,Rupanshi Shekhawat,2024-12-15,1,Active,Facebook,Unknown,2024-04-11 16:15:00,2024-12-31,Enrolled,1,One shot,0.0,,,,2024-12-09,Cohort 2,,,Gurgaon,Haryana,Akshit,2024-12-14 17:20:00,2024-11-08 15:36:00,2024-12-09 22:09:00
DELX-259001,Hari Prasad,9176171750,hariprasad@gmail.com,Monika Panchal,2024-10-04,1,Active,Facebook,Unknown,2024-06-14 06:52:00,2024-11-29,Enrolled,1,Loan,0.0,,,,2024-09-30,Cohort 2,,,Chennai,Tamil Nadu,Akshit,2024-10-02 19:29:00,2024-11-04 14:53:00,2024-09-29 16:33:00
BLRX-163381,Amberisch Gawaskar,7718006665,amberischgawaskar@gmail.com,Vinti,2024-11-22,1,Active,Facebook,Unknown,2024-03-13 01:57:00,2024-12-31,Enrolled,1,Loan,0.0,,,,2024-11-18,Cohort 2,,,Mumbai,Maharashtra,Akshit,2024-11-20 18:25:00,2024-11-06 12:04:00,2024-11-18 13:45:00
DELX-350024,Gaurav Das,8711071111,gauravdas@gmail.com,Akshay Manhas,2024-09-02,1,Drop,Referral Sites,Unknown,2024-08-27 08:47:00,,,1,,,,2024-09-02,Cohort 2,,,Guwahati,Assam,Akshit,2024-08-29 20:15:00,2024-11-06 16:31:00,2024-08-27 12:28:00
DELX-193394,Qazi Syed Wamiq Ali,7860997761,qazisyedwamiqali@gmail.com,Akshay Manhas,2024-10-20,1,Drop,LinkedIn,Unknown,2024-04-23 21:10:00,,,1,,,,2024-10-14,Cohort 2,,,New Delhi,Delhi,Akshit,2024-10-17 13:55:00,2024-11-08 15:52:00,2024-10-10 17:41:00
